,label,message,longest_capital_char_count,average_capital_char_count,total_capital_char_count,percentage_capital_char,char_freq_;,char_freq_:,char_freq_(,char_freq_[,char_freq_],char_freq_),char_freq_!,char_freq_#,char_freq_£,char_freq_...,char_freq_<,char_freq_>,char_freq_-,char_freq__,char_freq_?,sentence0,sentence1,sentence2,sentence3,sentence4,sentence5,sentence6,sentence7,sentence8,sentence9,sentence10,sentence11,sentence12,sentence13,sentence14,sentence15,sentence16,sentence17,sentence18,sentence19,sentence20,sentence21,big_number_count,urls_count,free,win,text,txt,send,prize,claim,call,mobile,cash,reply,urgent,ur,please,nokia,new,service,get,contact,stop
0,0,go jurong point crazy available bugis n great world la e buffet cine got amore wat,1,1.0,3,0.02702702702702703,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,ok lar joking wif u oni,1,1.0,2,0.06896551724137931,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,free entry wkly comp win fa cup final tkts may text fa receive entry questionstd txt ratetcs apply,2,1.25,10,0.06451612903225806,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,u dun say early hor u c already say,1,1.0,2,0.04081632653061224,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,nah dont think goes usf lives around though,1,1.0,2,0.03278688524590164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,freemsg hey darling weeks word back id like fun still tb ok xxx std chgs send rcv,1,1.0,7,0.0472972972972973,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,even brother like speak treat like aids patent,1,1.0,2,0.025974025974025976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,1,1.0,10,0.0625,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
8,1,winner valued network customer selected receivea prize reward claim call claim code valid hours,6,2.0,12,0.0759493670886076,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0
9,1,mobile months u r entitled update latest colour mobiles camera free call mobile update co free,4,1.2727272727272727,14,0.09090909090909091,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0
10,0,im gonna home soon dont want talk stuff anymore tonight k ive cried enough today,1,1.0,2,0.01834862385321101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,six chances win cash pounds txt send cost tsandcs apply reply hl info,4,1.8888888888888888,17,0.125,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
12,1,urgent week free membership prize jackpot txt word claim tc wwwdbuknet lccltd pobox,6,2.6666666666666665,40,0.2564102564102564,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
13,0,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,1,1.0,3,0.015306122448979591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
